trimestre,taxa_desemprego,data,ano,variacao
jan-fev-mar 2012,8.0,2012-01-01,2012,
fev-mar-abr 2012,7.8,2012-02-01,2012,-0.20000000000000018
mar-abr-mai 2012,7.7,2012-03-01,2012,-0.09999999999999964
abr-mai-jun 2012,7.6,2012-04-01,2012,-0.10000000000000053
mai-jun-jul 2012,7.5,2012-05-01,2012,-0.09999999999999964
jun-jul-ago 2012,7.3,2012-06-01,2012,-0.20000000000000018
jul-ago-set 2012,7.1,2012-07-01,2012,-0.20000000000000018
ago-set-out 2012,6.9,2012-08-01,2012,-0.1999999999999993
set-out-nov 2012,6.8,2012-09-01,2012,-0.10000000000000053
out-nov-dez 2012,6.9,2012-10-01,2012,0.10000000000000053
jan-fev-mar 2013,8.0,2013-01-01,2013,1.0999999999999996
fev-mar-abr 2013,7.9,2013-02-01,2013,-0.09999999999999964
mar-abr-mai 2013,7.6,2013-03-01,2013,-0.3000000000000007
abr-mai-jun 2013,7.5,2013-04-01,2013,-0.09999999999999964
mai-jun-jul 2013,7.4,2013-05-01,2013,-0.09999999999999964
jun-jul-ago 2013,7.2,2013-06-01,2013,-0.20000000000000018
jul-ago-set 2013,7.0,2013-07-01,2013,-0.20000000000000018
ago-set-out 2013,6.8,2013-08-01,2013,-0.20000000000000018
set-out-nov 2013,6.5,2013-09-01,2013,-0.2999999999999998
out-nov-dez 2013,6.2,2013-10-01,2013,-0.2999999999999998
nov-dez-jan 2013,7.2,2013-11-01,2013,1.0
dez-jan-fev 2013,7.8,2013-12-01,2013,0.5999999999999996
jan-fev-mar 2014,7.2,2014-01-01,2014,-0.5999999999999996
fev-mar-abr 2014,7.2,2014-02-01,2014,0.0
mar-abr-mai 2014,7.0,2014-03-01,2014,-0.20000000000000018
abr-mai-jun 2014,6.9,2014-04-01,2014,-0.09999999999999964
mai-jun-jul 2014,7.0,2014-05-01,2014,0.09999999999999964
jun-jul-ago 2014,7.0,2014-06-01,2014,0.0
jul-ago-set 2014,6.8,2014-07-01,2014,-0.20000000000000018
ago-set-out 2014,6.7,2014-08-01,2014,-0.09999999999999964
set-out-nov 2014,6.6,2014-09-01,2014,-0.10000000000000053
out-nov-dez 2014,6.6,2014-10-01,2014,0.0
nov-dez-jan 2014,6.5,2014-11-01,2014,-0.09999999999999964
dez-jan-fev 2014,6.8,2014-12-01,2014,0.2999999999999998
jan-fev-mar 2015,8.0,2015-01-01,2015,1.2000000000000002
fev-mar-abr 2015,8.1,2015-02-01,2015,0.09999999999999964
mar-abr-mai 2015,8.2,2015-03-01,2015,0.09999999999999964
abr-mai-jun 2015,8.4,2015-04-01,2015,0.20000000000000107
mai-jun-jul 2015,8.6,2015-05-01,2015,0.1999999999999993
jun-jul-ago 2015,8.8,2015-06-01,2015,0.20000000000000107
jul-ago-set 2015,9.0,2015-07-01,2015,0.1999999999999993
ago-set-out 2015,9.1,2015-08-01,2015,0.09999999999999964
set-out-nov 2015,9.1,2015-09-01,2015,0.0
out-nov-dez 2015,9.1,2015-10-01,2015,0.0
nov-dez-jan 2015,6.9,2015-11-01,2015,-2.1999999999999993
dez-jan-fev 2015,7.5,2015-12-01,2015,0.5999999999999996
jan-fev-mar 2016,11.0,2016-01-01,2016,3.5
fev-mar-abr 2016,11.3,2016-02-01,2016,0.3000000000000007
mar-abr-mai 2016,11.3,2016-03-01,2016,0.0
abr-mai-jun 2016,11.4,2016-04-01,2016,0.09999999999999964
mai-jun-jul 2016,11.7,2016-05-01,2016,0.29999999999999893
jun-jul-ago 2016,11.9,2016-06-01,2016,0.20000000000000107
jul-ago-set 2016,11.9,2016-07-01,2016,0.0
ago-set-out 2016,11.9,2016-08-01,2016,0.0
set-out-nov 2016,12.0,2016-09-01,2016,0.09999999999999964
out-nov-dez 2016,12.1,2016-10-01,2016,0.09999999999999964
nov-dez-jan 2016,9.6,2016-11-01,2016,-2.5
dez-jan-fev 2016,10.3,2016-12-01,2016,0.7000000000000011
jan-fev-mar 2017,13.9,2017-01-01,2017,3.5999999999999996
fev-mar-abr 2017,13.7,2017-02-01,2017,-0.20000000000000107
mar-abr-mai 2017,13.4,2017-03-01,2017,-0.29999999999999893
abr-mai-jun 2017,13.1,2017-04-01,2017,-0.3000000000000007
mai-jun-jul 2017,12.9,2017-05-01,2017,-0.1999999999999993
jun-jul-ago 2017,12.7,2017-06-01,2017,-0.20000000000000107
jul-ago-set 2017,12.5,2017-07-01,2017,-0.1999999999999993
ago-set-out 2017,12.3,2017-08-01,2017,-0.1999999999999993
set-out-nov 2017,12.1,2017-09-01,2017,-0.20000000000000107
out-nov-dez 2017,11.9,2017-10-01,2017,-0.1999999999999993
nov-dez-jan 2017,12.7,2017-11-01,2017,0.7999999999999989
dez-jan-fev 2017,13.3,2017-12-01,2017,0.6000000000000014
jan-fev-mar 2018,13.2,2018-01-01,2018,-0.10000000000000142
fev-mar-abr 2018,13.0,2018-02-01,2018,-0.1999999999999993
mar-abr-mai 2018,12.8,2018-03-01,2018,-0.1999999999999993
abr-mai-jun 2018,12.6,2018-04-01,2018,-0.20000000000000107
mai-jun-jul 2018,12.4,2018-05-01,2018,-0.1999999999999993
jun-jul-ago 2018,12.2,2018-06-01,2018,-0.20000000000000107
jul-ago-set 2018,12.0,2018-07-01,2018,-0.1999999999999993
ago-set-out 2018,11.8,2018-08-01,2018,-0.1999999999999993
set-out-nov 2018,11.7,2018-09-01,2018,-0.10000000000000142
out-nov-dez 2018,11.7,2018-10-01,2018,0.0
nov-dez-jan 2018,12.3,2018-11-01,2018,0.6000000000000014
dez-jan-fev 2018,12.7,2018-12-01,2018,0.3999999999999986
jan-fev-mar 2019,12.8,2019-01-01,2019,0.10000000000000142
fev-mar-abr 2019,12.6,2019-02-01,2019,-0.20000000000000107
mar-abr-mai 2019,12.4,2019-03-01,2019,-0.1999999999999993
abr-mai-jun 2019,12.1,2019-04-01,2019,-0.3000000000000007
mai-jun-jul 2019,11.9,2019-05-01,2019,-0.1999999999999993
jun-jul-ago 2019,11.9,2019-06-01,2019,0.0
jul-ago-set 2019,11.9,2019-07-01,2019,0.0
ago-set-out 2019,11.7,2019-08-01,2019,-0.20000000000000107
set-out-nov 2019,11.3,2019-09-01,2019,-0.3999999999999986
out-nov-dez 2019,11.1,2019-10-01,2019,-0.20000000000000107
nov-dez-jan 2019,12.2,2019-11-01,2019,1.0999999999999996
dez-jan-fev 2019,12.5,2019-12-01,2019,0.3000000000000007
jan-fev-mar 2020,12.4,2020-01-01,2020,-0.09999999999999964
fev-mar-abr 2020,12.7,2020-02-01,2020,0.29999999999999893
mar-abr-mai 2020,13.1,2020-03-01,2020,0.40000000000000036
abr-mai-jun 2020,13.6,2020-04-01,2020,0.5
mai-jun-jul 2020,14.1,2020-05-01,2020,0.5
jun-jul-ago 2020,14.8,2020-06-01,2020,0.7000000000000011
jul-ago-set 2020,14.9,2020-07-01,2020,0.09999999999999964
ago-set-out 2020,14.6,2020-08-01,2020,-0.3000000000000007
set-out-nov 2020,14.3,2020-09-01,2020,-0.29999999999999893
out-nov-dez 2020,14.2,2020-10-01,2020,-0.10000000000000142
nov-dez-jan 2020,11.3,2020-11-01,2020,-2.8999999999999986
dez-jan-fev 2020,11.7,2020-12-01,2020,0.3999999999999986
jan-fev-mar 2021,14.9,2021-01-01,2021,3.200000000000001
fev-mar-abr 2021,14.8,2021-02-01,2021,-0.09999999999999964
mar-abr-mai 2021,14.7,2021-03-01,2021,-0.10000000000000142
